[2026-04-20 09:55:28,892] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-04-20 09:55:32,869] INFO django.utils.autoreload: C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\Fusion\settings\common.py changed, reloading.
[2026-04-20 09:55:34,019] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-04-20 10:07:32,383] INFO django.server: "GET /api/auth/me HTTP/1.1" 200 581
[2026-04-20 10:07:32,674] INFO django.server: "GET /phc/staff/announcements/ HTTP/1.1" 200 281
[2026-04-20 10:07:50,830] INFO django.utils.autoreload: C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\Fusion\settings\common.py changed, reloading.
[2026-04-20 10:07:52,072] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-04-20 10:07:52,076] DEBUG django.utils.autoreload: Waiting for apps ready_event.
[2026-04-20 10:07:52,908] DEBUG asyncio: Using proactor: IocpProactor
[2026-04-20 10:07:52,942] DEBUG django.db.backends: (0.000) SELECT MAX("programme_curriculum_batch"."year") AS "max_year" FROM "programme_curriculum_batch"; args=()
[2026-04-20 10:07:52,942] DEBUG django.db.backends: (0.000) SELECT DISTINCT "programme_curriculum_batch"."year" FROM "programme_curriculum_batch"; args=()
[2026-04-20 10:07:53,225] DEBUG django.utils.autoreload: Apps ready_event triggered. Sending autoreload_started signal.
[2026-04-20 10:07:53,233] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\locale with glob **/*.mo.
[2026-04-20 10:07:53,258] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\whitenoise\runserver_nostatic\locale with glob **/*.mo.
[2026-04-20 10:07:53,292] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\django_crontab\locale with glob **/*.mo.
[2026-04-20 10:07:53,307] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\corsheaders\locale with glob **/*.mo.
[2026-04-20 10:07:53,325] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\eis\locale with glob **/*.mo.
[2026-04-20 10:07:53,350] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\notification\locale with glob **/*.mo.
[2026-04-20 10:07:53,366] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\notifications\locale with glob **/*.mo.
[2026-04-20 10:07:53,383] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\academic_procedures\locale with glob **/*.mo.
[2026-04-20 10:07:53,408] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\examination\locale with glob **/*.mo.
[2026-04-20 10:07:53,432] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\academic_information\locale with glob **/*.mo.
[2026-04-20 10:07:53,442] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\leave\locale with glob **/*.mo.
[2026-04-20 10:07:53,442] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\library\locale with glob **/*.mo.
[2026-04-20 10:07:53,442] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\notifications_extension\locale with glob **/*.mo.
[2026-04-20 10:07:53,442] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\gymkhana\locale with glob **/*.mo.
[2026-04-20 10:07:53,443] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\office_module\locale with glob **/*.mo.
[2026-04-20 10:07:53,443] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\globals\locale with glob **/*.mo.
[2026-04-20 10:07:53,443] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\central_mess\locale with glob **/*.mo.
[2026-04-20 10:07:53,444] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\complaint_system\locale with glob **/*.mo.
[2026-04-20 10:07:53,444] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\filetracking\locale with glob **/*.mo.
[2026-04-20 10:07:53,444] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\finance_accounts\locale with glob **/*.mo.
[2026-04-20 10:07:53,444] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\health_center\locale with glob **/*.mo.
[2026-04-20 10:07:53,444] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\online_cms\locale with glob **/*.mo.
[2026-04-20 10:07:53,444] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\ps1\locale with glob **/*.mo.
[2026-04-20 10:07:53,445] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\programme_curriculum\locale with glob **/*.mo.
[2026-04-20 10:07:53,445] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\placement_cell\locale with glob **/*.mo.
[2026-04-20 10:07:53,445] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\otheracademic\locale with glob **/*.mo.
[2026-04-20 10:07:53,445] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\recruitment\locale with glob **/*.mo.
[2026-04-20 10:07:53,445] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\scholarships\locale with glob **/*.mo.
[2026-04-20 10:07:53,446] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\visitor_hostel\locale with glob **/*.mo.
[2026-04-20 10:07:53,446] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\establishment\locale with glob **/*.mo.
[2026-04-20 10:07:53,446] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\estate_module\locale with glob **/*.mo.
[2026-04-20 10:07:53,446] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\counselling_cell\locale with glob **/*.mo.
[2026-04-20 10:07:53,446] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\hostel_management\locale with glob **/*.mo.
[2026-04-20 10:07:53,447] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\research_procedures\locale with glob **/*.mo.
[2026-04-20 10:07:53,447] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\income_expenditure\locale with glob **/*.mo.
[2026-04-20 10:07:53,447] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\hr2\locale with glob **/*.mo.
[2026-04-20 10:07:53,447] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\department\locale with glob **/*.mo.
[2026-04-20 10:07:53,447] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\iwdModuleV2\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\allauth\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\allauth\account\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\semanticuiforms\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\feeds\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\pagedown\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\markdown_deux\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\django_cleanup\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\django_unused_media\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\rest_framework\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\debug_toolbar\locale with glob **/*.mo.
[2026-04-20 10:07:53,449] DEBUG django.utils.autoreload: Watching dir C:\Users\dell\AppData\Local\Programs\Python\Python38\lib\site-packages\django_extensions\locale with glob **/*.mo.
[2026-04-20 10:07:53,708] DEBUG django.db.backends: (0.015) 
            SELECT c.relname,
            CASE WHEN c.relispartition THEN 'p' WHEN c.relkind IN ('m', 'v') THEN 'v' ELSE 't' END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None
[2026-04-20 10:07:53,708] DEBUG django.db.backends: (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
[2026-04-20 10:07:53,729] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1773425835.9038787
[2026-04-20 10:07:53,730] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pygments\modeline.py first seen with mtime 1773151715.37249
[2026-04-20 10:07:53,730] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\core\groupby\generic.py first seen with mtime 1773151946.9490654
[2026-04-20 10:07:53,730] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\psutil\_pswindows.py first seen with mtime 1773151731.7138097
[2026-04-20 10:07:53,731] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\email\utils.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,731] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\wsgiref\util.py first seen with mtime 1620023044.0
[2026-04-20 10:07:53,731] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\core\reshape\concat.py first seen with mtime 1773151946.9642024
[2026-04-20 10:07:53,731] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1773425807.4437063
[2026-04-20 10:07:53,731] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\openpyxl\chart\updown_bars.py first seen with mtime 1773425791.153747
[2026-04-20 10:07:53,732] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\central_mess\admin.py first seen with mtime 1773425212.6845593
[2026-04-20 10:07:53,732] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\office_module\admin.py first seen with mtime 1773424603.5462234
[2026-04-20 10:07:53,732] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\fontTools\pens\transformPen.py first seen with mtime 1773151990.9509666
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\requests\exceptions.py first seen with mtime 1773425781.807164
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\lzma.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\hr2\forms.py first seen with mtime 1773424603.5119226
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1773425806.9257927
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\PyPDF2\filters.py first seen with mtime 1773425732.2615013
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\html5lib\_trie\_base.py first seen with mtime 1773425804.580226
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\Desktop\SE\Fusion\FusionIIIT\applications\library\views.py first seen with mtime 1773424603.5396934
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\asyncio\runners.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\reportlab\pdfgen\canvas.py first seen with mtime 1773425782.7406194
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\allauth\account\models.py first seen with mtime 1773425847.726371
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\email\mime\__init__.py first seen with mtime 1620023042.0
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1773425735.2655327
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1773425752.7300067
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\site-packages\pandas\_config\config.py first seen with mtime 1773151946.744349
[2026-04-20 10:07:53,733] DEBUG django.utils.autoreload: File C:\Users\dell\AppData\Local\Programs\Python\Python38\Lib\email\headerregistry.py first seen with mtime 1620023042.0
